ID,country,language,socialNbFollowers,socialClassesLiked,classesListed,classesOffered,classesPassRate,classesWished,classesEnrolled,gender
183,Italie,it,5,0,9,14,100,0,0,F
184,Italie,it,74,151,7,13,92,23,0,F
185,Italie,it,39,29,2,13,76,0,0,M
186,France,fr,28,11,7,13,84,1,0,F
187,France,en,24,0,27,13,69,0,0,F
188,Etats-Unis,en,23,0,0,13,100,0,0,F
189,Allemagne,de,21,0,0,13,100,9,3,F
190,Royaume-Uni,en,21,97,3,13,84,10,16,F
191,Etats-Unis,en,21,0,23,13,84,0,0,F
192,France,fr,20,7,10,13,61,2,5,F
193,France,fr,19,4,12,13,92.3,2,1,F
194,Italie,it,15,10,49,13,92,0,0,F
195,Pays-Bas,en,14,22,6,13,61,2,2,F
196,France,fr,13,1,3,13,76,0,5,F
197,Monaco,it,12,5,1,13,100,0,0,F
198,France,fr,12,1,8,13,90.9,0,0,F
199,Italie,en,12,11,0,13,92,2,2,F
200,Belgique,en,11,153,27,13,92,63,6,F
201,France,fr,11,34,11,13,92,9,1,F
202,Su??de,en,11,0,6,13,92,1,0,F
203,Italie,it,10,2,2,13,92.3,0,0,F
204,Italie,it,7,2,11,13,84,0,0,F
205,Italie,it,24,111,4,12,90.9,27,0,F
206,France,fr,21,11,19,12,100,0,7,F
207,Italie,it,19,3,2,12,91,0,0,M
208,Espagne,es,19,14,54,12,83.3,108,20,M
209,Pologne,en,17,0,0,12,83,0,1,M
210,Royaume-Uni,en,17,2,0,12,83,0,0,M
211,France,fr,16,0,4,12,91,12,279,M
212,Italie,it,15,3,11,12,91,5,0,F
213,Royaume-Uni,en,13,12,5,12,58,3,1,F
214,Royaume-Uni,en,13,20,0,12,91,3,2,F
215,Royaume-Uni,en,13,46,7,12,100,0,0,F
216,Espagne,es,12,11,2,12,58,0,0,M
217,Royaume-Uni,en,12,3,8,12,84,1,0,F
218,Royaume-Uni,en,10,0,9,12,100,0,0,F
219,Su??de,en,10,53,1,12,91,160,7,F
220,Royaume-Uni,en,9,5,10,12,100,1,1,F
221,Royaume-Uni,en,9,1,1,12,91,5,0,F
222,Espagne,es,9,1,19,12,91,0,0,F
223,Belgique,fr,9,2,10,12,84,0,0,M
224,Italie,de,8,1,2,12,75,0,0,M
225,France,it,7,1,2,12,83,0,1,M
226,Italie,it,7,0,0,12,91,0,0,M
227,Italie,it,6,7,4,12,83,1,0,M
228,Etats-Unis,en,42,31,9,11,90,3,5,F
229,Italie,it,42,1,22,11,90,1,0,F
230,Croatie,en,34,6,7,11,83,0,0,F
231,Su??de,en,34,3,3,11,90,3,0,F
232,Italie,it,24,57,39,11,81,859,16,F
233,Etats-Unis,en,23,2,0,11,100,0,0,F
234,Italie,it,22,22,6,11,81,2,0,F
235,France,fr,21,61,11,11,100,225,1,F
236,Italie,it,21,1,19,11,63,0,0,F
237,Italie,en,20,7,0,11,90,1,0,M
238,Italie,it,19,11,22,11,81,8,0,F
239,Allemagne,de,18,41,7,11,100,2,2,F
240,Hong Kong,en,17,23,2,11,63,45,12,M
241,France,fr,15,6,7,11,100,44,1,F
242,Italie,it,15,1,3,11,100,0,0,F
243,France,fr,15,0,21,11,100,0,0,F
244,France,fr,14,0,13,11,100,0,0,F
245,Italie,it,14,1,5,11,100,0,0,F
246,Italie,en,12,1,0,11,75,0,0,F
247,Allemagne,de,12,1,1,11,100,0,0,M
248,Italie,it,11,159,1,11,90.9,11,1,F
249,Italie,it,11,5,2,11,100,0,0,F
250,Italie,it,11,3,1,11,63,2,0,F
251,France,fr,10,8,1,11,72,0,0,F
252,Italie,it,8,2,14,11,100,0,0,F
253,Etats-Unis,en,6,0,12,11,83,1,1,F
254,Espagne,en,5,1,10,11,90,0,0,F
255,Italie,it,5,0,6,11,100,0,0,F
256,Espagne,es,79,1751,4,10,77.7,299,0,F
257,Italie,it,58,148,22,10,100,2,3,F
258,Italie,it,28,35,21,10,90,1,0,F
